US,source_a,source_c,source_b,source_d,source_e,source_m,source_o,source_h,source_r,source_s,source_t,source_u,source_p,source_x,source_w,Freq,last_update_days_ago,1st_update_days_ago,Web order,Gender=male,Address_is_res,Spending
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3662,3662,1,0,1,127.87
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3883,3914,0,0,0,127.48
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,525,2914,1,1,0,488.5
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3215,3215,0,0,0,173.5
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2081,2438,0,1,0,1416
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1465,1465,0,0,1,192
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1879,1914,1,1,1,129.56
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2943,2984,1,0,0,386
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1928,1983,0,1,0,160.55
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1463,1486,0,0,1,174.06
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3613,3655,1,1,0,131.08
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2460,2732,1,0,0,188.9
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3299,3299,0,0,0,90
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3744,3745,0,1,0,354.2
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2947,3171,1,0,0,352
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2478,3103,0,1,0,184.5
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3698,3698,0,1,0,33.62
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1318,2310,0,1,1,160.56
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,868,3138,1,0,1,638.74
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2752,3914,0,1,0,638
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3338,3338,0,1,1,159
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1786,1822,0,0,0,40.55
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2226,2899,0,1,0,232
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,106,3573,1,0,0,1029.86
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1170,1170,1,1,0,375
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1856,2424,0,0,1,361.56
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2212,2212,0,0,0,95
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3338,4127,0,1,0,108.74
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2957,3278,1,1,0,135.58
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2908,3544,0,1,0,260.57
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,906,906,1,1,0,43
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1408,3746,0,1,1,388.63
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1835,2926,1,0,0,79.52
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,479,2107,1,1,0,394.45
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1470,3242,0,1,0,587.8
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3716,3716,0,0,1,297.85
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3125,3125,1,1,0,159.5
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,541,2862,1,1,1,49.5
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2859,2859,1,0,0,160.5
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2508,2508,0,1,0,233.45
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2862,2906,0,0,0,128.8
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3698,3698,1,0,0,97.94
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2962,3243,1,0,0,132.35
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,841,1162,1,0,1,157.56
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,458,3944,1,0,0,248
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1269,1269,1,0,0,276.5
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2102,2102,1,1,0,53.5
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2548,2548,1,0,0,229.5
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,822,1850,1,0,1,286.51
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1112,1112,0,1,0,163.5
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2807,2807,1,0,0,405
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2907,2907,0,1,0,159.5
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3724,3724,0,1,0,305
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3791,3852,1,1,1,533.89
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4005,4005,1,1,0,105
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1130,1130,1,1,0,78.5
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1128,3791,1,0,1,403.61
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1529,1577,0,1,0,186
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2404,2404,0,0,0,113.5
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,667,667,0,1,0,324.45
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4157,4157,1,1,0,69
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3436,3517,1,1,0,224.66
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1154,1154,0,0,1,204.5
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1863,1863,0,1,1,166.5
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1302,1302,1,1,0,66.9
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,785,814,1,0,0,206
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3883,3883,0,1,0,67.48
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2960,3746,0,1,1,119.5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,617,3548,0,0,0,356.29
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3009,3009,0,0,1,128.5
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1121,4065,1,1,0,420.18
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2648,2648,1,1,0,129.5
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1240,4157,1,1,1,140.9
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2960,3213,1,1,0,128.52
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1109,1109,0,0,0,20.5
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2268,3791,0,0,0,605.43
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1147,1147,1,0,0,163.5
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2425,3914,0,0,0,129.5
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2296,2296,0,0,0,160.5
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1016,1030,1,0,0,451
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1242,1394,1,1,1,432
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3074,3145,1,0,0,162.97
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2024,2369,0,1,0,547.35
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2632,2632,1,0,0,139.5
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3543,3556,0,0,0,129.07
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,169,169,1,1,0,163
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3662,3704,0,1,1,309.84
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,582,1584,1,1,0,325.5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,969,974,0,0,1,43.06
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,364,364,1,0,0,249
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1890,1890,1,0,0,77.45
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3944,3944,1,1,0,67.9
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2347,3276,0,0,0,219.07
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3772,3822,1,0,0,149.09
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3583,3622,1,0,0,140.07
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2960,3188,0,1,1,128.5
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1598,1598,1,1,0,39.5
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1689,1800,0,0,1,108.24
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2675,2675,0,1,0,29.5
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1989,3255,0,1,0,129.69
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1569,1569,1,1,0,31.5
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1906,3521,1,0,0,50
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2408,2408,1,0,0,53.5
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1864,2487,0,1,0,242.95
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2947,2947,0,0,0,79.5
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2723,2842,1,1,0,236.95
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2466,4036,1,1,0,145.03
