"age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome","y"
42,"entrepreneur","divorced","tertiary","yes",2,"yes","no","unknown",5,"may",380,1,-1,0,"unknown","no"
45,"admin.","single","unknown","no",13,"yes","no","unknown",5,"may",98,1,-1,0,"unknown","no"
39,"management","single","tertiary","no",255,"yes","no","unknown",5,"may",296,1,-1,0,"unknown","no"
53,"technician","married","secondary","no",-3,"no","no","unknown",5,"may",1666,1,-1,0,"unknown","no"
54,"retired","married","secondary","no",529,"yes","no","unknown",5,"may",1492,1,-1,0,"unknown","no"
29,"management","single","tertiary","no",0,"yes","no","unknown",5,"may",363,1,-1,0,"unknown","no"
33,"services","married","secondary","no",790,"yes","no","unknown",5,"may",391,1,-1,0,"unknown","no"
49,"blue-collar","married","unknown","no",154,"yes","no","unknown",5,"may",357,1,-1,0,"unknown","no"
55,"technician","married","secondary","no",1205,"yes","no","unknown",5,"may",158,2,-1,0,"unknown","no"
44,"blue-collar","married","secondary","no",582,"no","yes","unknown",5,"may",211,1,-1,0,"unknown","no"
56,"admin.","married","secondary","no",45,"no","no","unknown",5,"may",1467,1,-1,0,"unknown","yes"
42,"management","single","secondary","no",50,"no","no","unknown",5,"may",48,1,-1,0,"unknown","no"
57,"entrepreneur","divorced","secondary","no",-37,"no","no","unknown",5,"may",173,1,-1,0,"unknown","no"
60,"retired","married","tertiary","no",81,"yes","no","unknown",5,"may",101,1,-1,0,"unknown","no"
44,"blue-collar","married","secondary","no",-674,"yes","no","unknown",5,"may",257,1,-1,0,"unknown","no"
44,"blue-collar","married","secondary","no",144,"yes","no","unknown",5,"may",247,2,-1,0,"unknown","no"
52,"technician","married","tertiary","no",7,"no","yes","unknown",5,"may",175,1,-1,0,"unknown","no"
55,"services","married","secondary","no",2476,"yes","no","unknown",5,"may",579,1,-1,0,"unknown","yes"
53,"housemaid","divorced","primary","no",947,"yes","no","unknown",5,"may",163,1,-1,0,"unknown","no"
59,"blue-collar","married","secondary","no",57,"yes","no","unknown",5,"may",98,1,-1,0,"unknown","no"
33,"services","married","secondary","no",22,"yes","no","unknown",5,"may",71,1,-1,0,"unknown","no"
60,"retired","divorced","secondary","no",216,"yes","no","unknown",5,"may",238,1,-1,0,"unknown","no"
48,"services","married","unknown","no",1705,"yes","no","unknown",5,"may",107,1,-1,0,"unknown","no"
52,"management","married","tertiary","no",271,"yes","no","unknown",5,"may",99,1,-1,0,"unknown","no"
50,"blue-collar","married","primary","no",0,"no","no","unknown",5,"may",233,3,-1,0,"unknown","no"
33,"blue-collar","single","secondary","no",307,"yes","no","unknown",5,"may",309,2,-1,0,"unknown","no"
38,"blue-collar","married","secondary","no",-390,"yes","no","unknown",5,"may",287,1,-1,0,"unknown","no"
39,"management","married","tertiary","no",378,"yes","yes","unknown",5,"may",127,2,-1,0,"unknown","no"
33,"management","single","tertiary","no",34,"yes","no","unknown",5,"may",27,1,-1,0,"unknown","no"
36,"blue-collar","married","unknown","no",1033,"no","no","unknown",5,"may",238,2,-1,0,"unknown","no"
43,"technician","married","secondary","no",434,"yes","no","unknown",5,"may",117,1,-1,0,"unknown","no"
57,"technician","married","secondary","no",1078,"yes","no","unknown",5,"may",10,4,-1,0,"unknown","no"
49,"services","married","secondary","no",47,"no","no","unknown",5,"may",234,2,-1,0,"unknown","no"
33,"admin.","single","secondary","no",352,"yes","no","unknown",5,"may",225,2,-1,0,"unknown","no"
50,"technician","married","secondary","no",1234,"yes","no","unknown",5,"may",205,2,-1,0,"unknown","no"
55,"services","divorced","primary","no",96,"yes","yes","unknown",5,"may",311,2,-1,0,"unknown","no"
32,"technician","divorced","tertiary","no",2558,"no","no","unknown",5,"may",148,2,-1,0,"unknown","no"
31,"admin.","single","secondary","no",98,"yes","no","unknown",5,"may",196,2,-1,0,"unknown","no"
41,"blue-collar","married","secondary","no",290,"yes","no","unknown",5,"may",240,2,-1,0,"unknown","no"
49,"blue-collar","married","secondary","no",30,"yes","no","unknown",5,"may",135,4,-1,0,"unknown","no"
32,"services","single","secondary","no",121,"yes","no","unknown",5,"may",213,2,-1,0,"unknown","no"
