UserName,Tweet
"_FehEmilio","@vinifaiad vai nessa, vai da Broncos certeza"
"Starling712","@JakeLyon88 SEAHAWKS! Jk I don't care."
"youlovelala","Can't wait for the Red Hot Chili Pepper's concert today that people are gonna play football at!"
"XoXoKayBabby","RT @bluntbitchsayz: Seahawks! Seahawks! Seahawks! #SuperBowlSunday"
"McKennaStPats","RT @StBrigidsCamp: Only 15 days until the St. Brigid's Camp Family Day skate! Please pass the word on & invite as many as you can!   http"
"toopunk4you","i understood how football worked for about a day but then i deleted it from my mind palace soOoooO"
"Catty_in_da_hat","RT @iBiebersSwaag: Why isnt this breaking news? oh wait, it's not Justin Bieber http://t.co/2prwDMYcmL"
"stylishzayn","RT @NiallOfficial: SuperBowl tonight !"
"ThatAstro_Kid","RT @AthleteStory: RETWEET if you think the Broncos will win the Super Bowl! http://t.co/44WkRK9J1P"
"NancyAchkar2","RT @Worldlmages: Winter in Paris http://t.co/8FCKiJI6UU"
"BeeLoveKillz","I love how my family goes all out for football"
"KukMason","RT @SportsCenter: RT if the Seahawks will win Super Bowl XLVIII. http://t.co/AX6Y1n9xXW"
"kengrantde","Church - the football on the mall (at @NCC @ Barracks Row w/ 3 others) http://t.co/EWxyyYOuSY"
"iamIGGY_","RT @ItsReginaG: All of my friends are like, I love him. He gave me his hoodie, and we kissed in the rain. And I'm just sitting here like:"
"ExeterTown","#WinAHoliday to #Exeter #Devon #SouthWest #England http://t.co/lmrdawM5AX  Only One Penny Per Entry #Holiday #HolidayPrize #FreeHoliday"
"singingiskey7","RT @BudayJack: Today is #SB48 between the Seahawks and the Broncos. I'm predicting a blowout win by no other than DA BEARS #BearDown http:/"
"Amazon_topgame","  G 2013   http://t.co/ut1wmjyKj8 #MHF #XBOX #Xbox360"
"ii_Hoop12","Seahawks"
"bridan4real","BREAKING: Former Vice President, Atiku Abubakar defects to APC: Former Nigerias Vice President, Atiku Abubaka... http://t.co/FcgICDq8h8"
