ZipCode,Zone
005,4
006,7
007,7
008,7
009,7
010,5
011,5
012,5
013,5
014,5
015,5
016,5
017,5
018,5
019,5
020,5
021,5
022,5
023,5
024,5
025,5
026,5
027,5
028,5
029,5
030,5
031,5
032,5
033,5
034,5
035,5
036,5
037,5
038,5
039,5
040,5
041,5
042,5
043,5
044,5
045,5
046,5
047,5
048,5
049,5
050,5
051,5
052,5
053,5
054,5
055,5
056,5
057,5
058,5
059,5
060,5
061,5
062,5
063,5
064,5
065,5
066,4
067,5
068,4
069,4
070,4
071,4
072,4
073,4
074,4
075,4
076,4
077,4
078,4
079,4
080,4
081,4
082,4
083,4
084,4
085,4
086,4
087,4
088,4
089,4
090,4
091,4
092,4
093,4
094,4
095,4
096,4
097,4
098,4
099,4
100,4
101,4
102,4
103,4
104,4
105,4
106,4
107,4
108,4
109,4
110,4
111,4
112,4
113,4
114,4
115,4
116,4
117,4
118,4
119,4
120,5
121,5
122,5
123,5
124,5
125,5
126,5
127,5
128,5
129,5
130,5
131,5
132,5
133,5
134,5
135,5
136,5
137,5
138,5
139,5
140,4
141,4
142,4
143,4
144,5
145,5
146,5
147,4
148,5
149,5
150,4
151,4
152,4
153,4
154,4
155,4
156,4
157,4
158,4
159,4
160,4
161,4
162,4
163,4
164,4
165,4
166,4
167,5
168,4
169,4
170,4
171,4
172,4
173,4
174,4
175,4
176,4
177,4
178,4
179,4
180,4
181,4
182,4
183,4
184,4
185,4
186,4
187,4
188,4
189,4
190,4
191,4
192,4
193,4
194,4
195,4
196,4
197,4
198,4
199,4
200,4
201,4
202,4
203,4
204,4
205,4
206,4
207,4
208,4
209,4
210,4
211,4
212,4
214,4
215,4
216,4
217,4
218,4
219,4
220,4
221,4
222,4
223,4
224,4
225,4
226,4
227,4
228,4
229,4
230,4
231,4
232,4
233,4
234,4
235,4
236,4
237,4
238,4
239,4
240,3
241,3
242,2
243,3
244,4
245,3
246,3
247,3
248,3
249,3
250,3
251,3
252,3
253,3
254,4
255,3
256,3
257,3
258,3
259,3
260,4
261,3
262,3
263,3
264,3
265,4
266,3
267,3
268,3
270,3
271,3
272,3
273,3
274,3
275,3
276,3
277,3
278,3
279,3
280,2
281,2
282,2
283,3
284,3
285,3
286,3
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,3
295,2
296,1
297,2
298,2
299,3
300,2
301,2
302,2
303,2
304,2
305,2
306,2
307,3
308,2
309,2
310,2
311,2
312,2
313,3
314,3
315,3
316,4
317,4
318,4
319,4
320,3
321,4
322,3
323,4
324,4
325,4
326,3
327,4
328,4
329,4
330,5
331,5
332,5
333,5
334,5
335,5
336,5
337,5
338,5
339,5
340,5
341,4
