ID,Name,Host_ID,Host_Name,Neighbourhood,Room_Type,Price,Number_of_Reviews,Last_Review,Calculated_Listing_Count,Availability_365
10291,Spacious Cottage in Mid-City!,31004,Jill,Navarre,Entire home/apt,300,87,7/22/2018,1,358
19091,Fully Furnished Cozy Apartment,72880,John,Leonidas,Entire home/apt,100,398,8/5/2018,1,325
32250,Maisonette; Steps to St Charles Ave,138383,Ariana,Central City,Entire home/apt,140,396,7/9/2018,2,0
53173,$99 SUMMER DEAL!  BEST REVIEWS!  WALK > FQ,12154,Karen,St. Claude,Private room,115,126,5/30/2018,2,352
53544,Historical Bywater Mother in Law Cottage,249527,Lee,Bywater,Entire home/apt,50,166,7/11/2018,1,74
54254,Less than 1 mile to French Quarter,74821,Heidi,St. Roch,Entire home/apt,65,193,7/19/2018,2,138
62562,Historic House Loyal's Place whole apartment,304657,John,Treme - Lafitte,Entire home/apt,325,0,,8,89
62658,Historic Marigny Creole Home,297668,Lorelei,Bywater,Entire home/apt,200,64,7/9/2018,2,24
66972,The Retreat in Lovely Bayou St John,329415,Geoff,Bayou St. John,Entire home/apt,123,182,7/11/2018,2,352
71624,Ravenwood Manor (Historic Bywater),367223,Susan,St. Claude,Entire home/apt,130,194,7/9/2018,1,349
74498,Maison Marais 1: Large Local Living,391462,Georgia,St. Roch,Entire home/apt,105,419,7/15/2018,3,276
76674,Luxury & history in the Big Easy #1,409545,Matt McShee,Bywater,Private room,99,154,7/9/2018,2,159
79536,SpaciousCleanFunctional Private Apt,428362,Miriam,Seventh Ward,Entire home/apt,91,396,7/8/2018,1,60
79542,Beautiful Room Uptown Home - License 17STR-10083,428397,James,Marlyville - Fontainbleau,Private room,80,25,5/9/2018,1,361
79609,Moon Over Mazant Bywater's First and Best!,428909,Stephen,St. Claude,Entire home/apt,102,255,7/18/2018,1,253
80869,"Frenchmen House ""Red Room""",437783,Joanne,Marigny,Private room,75,563,7/15/2018,3,254
82922,HONEYMOON/ANNIVERSARY SUITE COUPLES,451478,Kennon Avec Ma Femme,Tall Timbers - Brechtel,Entire home/apt,75,26,7/14/2018,3,176
82930,NOLA Chateau,451478,Kennon Avec Ma Femme,Tall Timbers - Brechtel,Entire home/apt,55,24,7/10/2018,3,173
83877,NOLA'S STUDIO central to everything,2935610,Whitney,Treme - Lafitte,Entire home/apt,100,538,7/29/2018,4,129
89173,Marginy BnoB by Frenchman!,486093,Virginia,Marigny,Entire home/apt,130,308,7/29/2018,3,206
90806,Live Like a Local in Mid-City,485705,Tom,Mid-City,Entire home/apt,96,125,5/29/2018,1,336
101101,SHIRO'S SUITE - central & cute!,2935610,Whitney,Treme - Lafitte,Entire home/apt,99,466,7/25/2018,4,128
107325,"BUNNY'S suite, walk everywhere!",2935610,Whitney,Treme - Lafitte,Entire home/apt,95,438,7/22/2018,4,117
148382,Lush Sanctuary Steps to St Charles!,138383,Ariana,Central City,Entire home/apt,135,377,6/27/2018,2,0
162525,True NaWlins Flavor,776684,Leslie,St. Claude,Entire home/apt,120,265,8/3/2018,3,210
182312,SHOGAS SUITE - close to everything,2935610,Whitney,Treme - Lafitte,Entire home/apt,89,427,7/28/2018,4,119
183207,"Frenchmen House ""Rose Room""",437783,Joanne,Marigny,Private room,75,545,7/22/2018,3,155
204998,Hilaire Suite- Near French Quarter,1006034,Villere,Treme - Lafitte,Entire home/apt,200,142,4/15/2018,3,357
205008,Muse Suite- Near French Quarter,1006034,Villere,Treme - Lafitte,Entire home/apt,210,224,7/11/2018,3,340
209874,Private SUITE in Perfect Neighborhood; BIKES incld,1034255,Matt,City Park,Entire home/apt,95,119,7/22/2018,1,359
215840,The Pearl at Riverbend,1114187,Dan And Jo Anne,Black Pearl,Private room,125,71,4/29/2018,1,343
215991,Quintessentially New Orleans,1093198,Jamie & Toni,City Park,Entire home/apt,227,155,7/22/2018,1,344
228560,La Boheme de Marigny - Historic Creole Cottage,1192986,Dayna,Marigny,Entire home/apt,468,34,5/29/2018,1,165
