date,year,month,weekday,station314,station304
1/1/2010,2010,1,Saturday,0,0
1/2/2010,2010,1,Sunday,0,0
1/3/2010,2010,1,Monday,0.06,0
1/4/2010,2010,1,Tuesday,0.01,0
1/5/2010,2010,1,Wednesday,0,0
1/6/2010,2010,1,Thursday,0,-99.9
1/7/2010,2010,1,Friday,-99.9,0.15
1/8/2010,2010,1,Saturday,-99.9,0.23
1/9/2010,2010,1,Sunday,-99.9,0.08
1/10/2010,2010,1,Monday,0.03,0
1/11/2010,2010,1,Tuesday,0,0
1/12/2010,2010,1,Wednesday,0.11,0
1/13/2010,2010,1,Thursday,0,0
1/14/2010,2010,1,Friday,0,0
1/15/2010,2010,1,Saturday,0,-99.9
1/16/2010,2010,1,Sunday,0,-99.9
1/17/2010,2010,1,Monday,0,0
1/18/2010,2010,1,Tuesday,0,0
1/19/2010,2010,1,Wednesday,0,0
1/20/2010,2010,1,Thursday,-99.9,-99.9
1/21/2010,2010,1,Friday,-99.9,0.03
1/22/2010,2010,1,Saturday,-99.9,0.16
1/23/2010,2010,1,Sunday,0,0
1/24/2010,2010,1,Monday,0.38,0.41
1/25/2010,2010,1,Tuesday,0.02,0.03
1/26/2010,2010,1,Wednesday,0.05,0.08
1/27/2010,2010,1,Thursday,0,-99.9
1/28/2010,2010,1,Friday,0.06,0.1
1/29/2010,2010,1,Saturday,0,0
1/30/2010,2010,1,Sunday,0,0
1/31/2010,2010,1,Monday,0,0
2/1/2010,2010,2,Tuesday,0,-99.9
2/2/2010,2010,2,Wednesday,0.08,-99.9
2/3/2010,2010,2,Thursday,0,-99.9
2/4/2010,2010,2,Friday,0,-99.9
2/5/2010,2010,2,Saturday,0,0
2/6/2010,2010,2,Sunday,0.15,0.11
2/7/2010,2010,2,Monday,0,0
2/8/2010,2010,2,Tuesday,0,-99.9
2/9/2010,2010,2,Wednesday,0.18,-99.9
2/10/2010,2010,2,Thursday,0.42,-99.9
2/11/2010,2010,2,Friday,0,-99.9
2/12/2010,2010,2,Saturday,0,-99.9
