"X","funded_amnt","int_rate","installment","emp_title","emp_length","home_ownership","annual_inc","purpose","addr_state","dti","application_type","open_act_il","open_il_12m","open_il_24m","mths_since_recent_bc","tot_hi_cred_lim"
45470,15000,11.06,491.51,"RN","2 years","RENT",90000,"debt_consolidation","WA",4.41,"Individual",1,2,4,62,23520
103048,8000,7.84,250.11,"Manager","10+ years","MORTGAGE",80000,"home_improvement","GA",9.21,"Individual",2,2,2,88,124605
20438,23675,22.35,658.6,"Dental Assistant","10+ years","MORTGAGE",45500,"debt_consolidation","NV",47.82,"Joint App",10,2,4,14,101590
125383,7200,16.91,256.38,"Server","4 years","RENT",60000,"debt_consolidation","FL",9.66,"Individual",1,1,1,9,38292
2228,5000,11.06,163.84,"","n/a","RENT",60000,"debt_consolidation","IN",13.86,"Individual",2,1,1,5,39525
117330,6000,7.21,185.84,"Therapist","10+ years","MORTGAGE",73000,"credit_card","FL",9.75,"Individual",1,1,1,40,95078
37380,40000,10.08,1292.2,"Mortgage Underwriter","2 years","MORTGAGE",90000,"home_improvement","NC",12.45,"Individual",2,2,5,17,270333
40883,16000,18.94,586.02,"","< 1 year","OWN",38481,"credit_card","CO",32.03,"Individual",1,0,0,52,38504
95314,8000,13.56,271.72,"Registered nurse","3 years","OWN",80000,"debt_consolidation","TX",24.18,"Individual",5,1,1,4,288622
104326,30000,18.45,1091.36,"Management Analyst","7 years","MORTGAGE",90000,"debt_consolidation","VA",6.13,"Individual",0,0,0,2,436263
43519,11000,7.21,340.71,"Travel Nurse ","1 year","OWN",60000,"credit_card","OH",11.9,"Individual",3,0,0,1,268482
114090,22000,16.46,540.39,"Superintendent ","8 years","MORTGAGE",103000,"debt_consolidation","LA",20.11,"Individual",3,2,3,40,83265
94577,15000,16.91,534.12,"Manager","10+ years","MORTGAGE",46000,"debt_consolidation","MD",52.91,"Joint App",4,0,0,37,496090
27362,10000,16.14,243.93,"Machine operator","10+ years","MORTGAGE",42000,"debt_consolidation","NJ",5.29,"Individual",0,0,0,4,106850
79026,10300,7.84,322.01,"","< 1 year","RENT",35000,"debt_consolidation","TX",1.13,"Joint App",0,0,0,13,11900
94984,12600,20.89,340.1,"Customer Service Rep","7 years","RENT",33000,"debt_consolidation","MA",8.95,"Individual",0,0,0,17,17600
102190,40000,8.46,1261.97,"Advocate (Wouded Warrior Program","3 years","MORTGAGE",125000,"debt_consolidation","NY",28.37,"Individual",5,0,2,144,376956
78067,8500,10.08,274.6,"QA Tech","5 years","RENT",36000,"credit_card","KS",31.17,"Individual",2,0,1,356,60730
22715,17500,10.08,372.52,"Service Coordinator","4 years","MORTGAGE",65000,"debt_consolidation","NH",15.21,"Individual",1,0,0,40,280240
96963,14000,20.89,526.67,"optician","4 years","RENT",52000,"debt_consolidation","TX",32.84,"Joint App",2,0,2,21,56767
20536,8000,6.67,245.82,"Service technician ","3 years","RENT",55000,"debt_consolidation","CA",19.27,"Individual",2,0,1,17,59855
59328,15000,17.97,380.66,"builder","4 years","OWN",38000,"debt_consolidation","MI",12.1,"Individual",1,1,1,10,34100
92648,12000,16.14,422.72,"mechanic","4 years","RENT",54000,"credit_card","CA",2.42,"Joint App",0,0,0,25,6400
45925,14000,10.47,454.84,"jr mecanic","< 1 year","RENT",48500,"debt_consolidation","NY",26.61,"Individual",2,1,3,12,64372
122441,20000,7.84,625.26,"Triage nurse","5 years","MORTGAGE",140000,"debt_consolidation","NV",19.07,"Individual",2,0,0,6,416342
92152,6000,16.14,211.36,"Real Estate Sales","10+ years","RENT",85000,"debt_consolidation","NV",11.61,"Individual",1,0,1,127,52807
121729,21000,17.47,753.63,"General Sales Manager","7 years","MORTGAGE",188000,"home_improvement","MD",14.33,"Individual",3,1,2,7,104035
115507,13000,6.83,400.4,"","n/a","RENT",56280,"credit_card","CA",22.81,"Individual",1,0,1,7,89718
114686,6000,15.02,208.06,"operations manager","10+ years","RENT",40000,"debt_consolidation","FL",28.47,"Individual",3,0,0,49,50113
124936,20000,6.19,610.17,"Chef","2 years","MORTGAGE",65000,"credit_card","KY",6.17,"Individual",0,0,0,24,201800
22448,5600,19.92,207.89,"mechanic","2 years","RENT",60000,"medical","PA",23.32,"Individual",8,0,2,30,67750
15298,12600,26.31,379.57,"Nurse","5 years","MORTGAGE",50000,"debt_consolidation","WA",44.29,"Joint App",3,2,3,27,379119
15715,1500,12.73,50.35,"Meat Dpt supervisor ","10+ years","MORTGAGE",65000,"home_improvement","FL",17.32,"Individual",2,1,1,39,190076
60359,36000,11.55,1188,"IT Manager","8 years","MORTGAGE",142000,"home_improvement","FL",13.03,"Individual",1,0,0,50,47900
39764,6500,7.84,203.21,"","n/a","RENT",42000,"major_purchase","TX",30.09,"Individual",2,0,1,7,102644
34490,10000,14.47,235.13,"Doctor's Office","4 years","RENT",27000,"other","NJ",3.29,"Joint App",0,0,0,15,12336
23262,35000,8.46,1104.22,"Elevator Operator","10+ years","RENT",55000,"debt_consolidation","NY",16.41,"Individual",1,0,1,200,31600
19793,25000,17.97,903.44,"Programmer Analyst","4 years","RENT",120000,"debt_consolidation","TX",20.97,"Individual",3,0,2,15,142651
76766,20000,10.47,649.77,"","< 1 year","RENT",145000,"debt_consolidation","NY",12.48,"Individual",3,0,0,13,257344
114415,16000,6.11,310.15,"Audiologist","7 years","MORTGAGE",120000,"credit_card","VA",6.21,"Individual",0,1,1,33,469800
